"id","name","city","state","tax_rate"
91,"iso","Lompoc","Nebraska",0.06687373
92,"shares","Ada","Pennsylvania",0.13534415
93,"camcorders","Sand Springs","Connecticut",0.07591749
94,"practices","Linden","Kentucky",0.06603216
95,"gonna","Atlantic City","Hawaii",0.06410834
96,"wildlife","Roy","New Mexico",0.13589957
97,"christ","Gardena","Maine",0.07923621
98,"religion","Wheaton","Vermont",0.11103558
99,"adam","East Orange","Oklahoma",0.08134809
100,"equation","Hamtramck","Indiana",0.08069118
101,"firefox","Hammond","Ohio",0.078023694
102,"trading","Cape Coral","Arkansas",0.13474803
103,"ec","Adrian","California",0.13160695
104,"although","Thomasville","Hawaii",0.07604598
105,"eliminate","Los Altos","Texas",0.14336336
106,"sigma","Covina","Florida",0.07713226
107,"connect","Elk Grove","Arkansas",0.14942092
108,"works","Waxahachie","Rhode Island",0.056878626
109,"father","Paso Robles","Iowa",0.14240098
110,"assistant","Santee","Montana",0.102675416
111,"delay","Bullhead City","North Dakota",0.11358015
112,"reach","Long Branch","Texas",0.075659096
113,"extend","Flagstaff","New Jersey",0.14613716
114,"calculated","Brawley","Massachusetts",0.114381865
115,"pour","Kirkland","Louisiana",0.07951644
116,"mt","Cedar Park","Indiana",0.13704188
117,"services","Wausau","Florida",0.10575536
118,"weblog","Baldwin","Oregon",0.073391214
119,"importance","Augusta","Illinois",0.052309096
120,"ave","Roseburg","New Hampshire",0.085300565
121,"participants","Golden Valley","New York",0.086690955
122,"brian","Manchester","North Dakota",0.1442511
123,"calculator","Medford","Indiana",0.059902575
124,"had","El Dorado","Arizona",0.080385335
125,"friends","Galesburg","Kentucky",0.117253445
126,"centres","Lewisville","Rhode Island",0.09245633
127,"ieee","Manchester","South Carolina",0.093067005
128,"buyer","Melbourne","South Dakota",0.06874077
129,"pleased","Urbana","Nevada",0.052395314
130,"eve","Lincoln","Pennsylvania",0.065120764
131,"labs","Spokane Valley","Arkansas",0.13586013
132,"keys","Turlock","Hawaii",0.13565943
133,"nova","Shelby","California",0.1316681
134,"edge","Coppell","Colorado",0.10136717
135,"opportunity","Mandan","Texas",0.051422022
136,"boats","Pittsburg","Illinois",0.1389871
137,"seat","Oklahoma City","California",0.1471116
138,"israeli","Minot","Georgia",0.12764448
139,"thoughts","San Fernando","Oklahoma",0.06292542
140,"constitutional","Goshen","Maine",0.14483242
141,"auction","Wilson","Colorado",0.06269409
142,"jamaica","Valparaiso","Georgia",0.102477
143,"flickr","Duncan","Florida",0.11157779
144,"guarantee","Kerrville","West Virginia",0.13497865
145,"email","Manteca","Texas",0.13069612
146,"genuine","Anderson","South Dakota",0.08274132
147,"au","Kansas City","Louisiana",0.07348379
148,"directions","Fargo","Texas",0.09067072
149,"neil","Independence","Hawaii",0.088325396
150,"zum","Opelousas","Florida",0.11430763
151,"provision","Sheridan","West Virginia",0.13827443
152,"advanced","West Palm Beach","Idaho",0.051413786
153,"affairs","Santa Paula","West Virginia",0.14601906
154,"stories","Indianapolis","Kentucky",0.14922878
155,"workers","Stafford","Alaska",0.14336568
156,"counsel","Salinas","Alaska",0.11981335
157,"schedules","Elizabethtown","Mississippi",0.13045695
158,"cricket","Corinth","New Jersey",0.1448725
159,"facilities","Rohnert Park","Oregon",0.14289491
160,"maybe","Cincinnati","Delaware",0.13867289
161,"feet","Galt","Missouri",0.05729649
162,"rd","Blacksburg","Nebraska",0.1082468
163,"nebraska","Pinellas Park","Alaska",0.06553339
164,"emotional","Shelby","Kentucky",0.11218129
165,"people","Haverhill","New Jersey",0.1032528
166,"orlando","Coral Gables","Arkansas",0.05369806
167,"spam","De Land","Missouri",0.14279312
168,"authority","Hackensack","Georgia",0.08798833
169,"juice","Bainbridge Island","Alaska",0.054444313
170,"worship","Meriden","New Mexico",0.09619051
171,"photoshop","Dixon","Oklahoma",0.0514585
172,"ea","North Chicago","Minnesota",0.09033485
173,"psp","Massapequa Park","New York",0.077480204
174,"attempts","Fairview Heights","Arkansas",0.06509729
175,"detroit","Flint","Vermont",0.10528564
176,"watches","East Point","Connecticut",0.09643641
177,"cooperative","Del City","South Carolina",0.05934346
178,"garage","Saratoga","California",0.13900241
179,"arguments","Reynoldsburg","Pennsylvania",0.062421422
180,"maria","Paradise","Florida",0.07454485
181,"correctly","Wilkes-Barre","Arizona",0.054342747
182,"criticism","Franklin Park","Nevada",0.1475659
183,"attributes","Hackensack","Missouri",0.14133455
184,"minimum","Shoreline","Maryland",0.09020204
185,"proven","Ankeny","Michigan",0.107806675
186,"accessories","Muskego","Rhode Island",0.13023621
187,"robin","DeKalb","Louisiana",0.12736855
188,"michelle","Rock Island","Idaho",0.09015445
189,"see","Winter Garden","Colorado",0.12235313
190,"yahoo","Roanoke Rapids","Vermont",0.13705182
191,"link","Encinitas","North Dakota",0.09551695
192,"encoding","San Francisco","Colorado",0.1499591
193,"counters","Glendora","Massachusetts",0.11633379
194,"fields","Safety Harbor","New Hampshire",0.13236925
195,"mouth","Lake Zurich","West Virginia",0.106377065
196,"download","Friendswood","Maryland",0.08916
197,"to","Hackensack","Delaware",0.13928655
198,"pine","Burien","Minnesota",0.086434186
199,"income","Syracuse","New York",0.057555865
