"id","name","category","price","description"
25,"Texas Toast","Electronics",11646,"Its main implementation is the Glasgow Haskell Compiler."
26,"Margherita Pizza","Fashion",11344,"Atoms are used within a program to denote distinguished values."
27,"Buffalo wing","Beauty & Personal",10204,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
28,"Steak sandwich","Health & Hygine",560,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
29,"Baked potato","Video Games",19311,"The arguments can be primitive data types or compound data types."
30,"Juba","Books",6384,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
31,"Gyoza","Home & Garden",5678,"Where are my pants?"
32,"Mashed potato","Home & Garden",16400,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
33,"Surf and turf","Office Supply",17921,"Ports are used to communicate with the external world."
34,"Chicken Alfredo","Sports & Outdoor",6371,"In 1989 the building was heavily damaged by fire, but it has since been restored."
35,"Stuffed zucchini","Home & Garden",9768,"Erlang is known for its designs that are well suited for systems."
36,"Shrimp Creole","Fashion",7041,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
37,"Sour cream","Home & Garden",2767,"Erlang is a general-purpose, concurrent, functional programming language."
38,"White chocolate cookie","Office Supply",17841,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
39,"Chicken Alfredo","Books",527,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
40,"Energy bar","Office Supply",18840,"Erlang is a general-purpose, concurrent, functional programming language."
41,"Sichuan Hot Pot","Beauty & Personal",957,"Type classes first appeared in the Haskell programming language."
42,"Chili con carne","Health & Hygine",7773,"Its main implementation is the Glasgow Haskell Compiler."
43,"Corned beef","Beauty & Personal",15088,"Do you come here often?"
44,"Naan","Home & Garden",15663,"Ports are created with the built-in function open_port."
45,"Surf and turf","Books",13956,"It is also a garbage-collected runtime system."
46,"Montreal Smoked Meat","Office Supply",14548,"Erlang is known for its designs that are well suited for systems."
47,"Pastrami","Music Instruments",13360,"Erlang is a general-purpose, concurrent, functional programming language."
48,"Beef Manhattan","Home & Garden",9248,"He looked inquisitively at his keyboard and wrote another sentence."
49,"Barbecue","Office Supply",9432,"Tuples are containers for a fixed number of Erlang data types."
50,"Funnel Cake","Health & Hygine",10360,"Any element of a tuple can be accessed in constant time."
51,"Roasted Chickpeas","Health & Hygine",1628,"Make me a sandwich."
52,"Creme Brulee","Health & Hygine",17893,"Its main implementation is the Glasgow Haskell Compiler."
53,"Corn chowder","Health & Hygine",17386,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
54,"Chicken and waffles","Electronics",7368,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
55,"Hangtown fry","Health & Hygine",9724,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
56,"Rice and gravy","Office Supply",17931,"Ports are used to communicate with the external world."
57,"Corn flakes","Books",11897,"Do you have any idea why this is not working?"
58,"Sandwich","Beauty & Personal",2369,"I don't even care."
59,"Moules Frites","Office Supply",1634,"Type classes first appeared in the Haskell programming language."
60,"Chicken Liver Pate","Home & Garden",1984,"Make me a sandwich."
61,"Jell-O","Beauty & Personal",18810,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
62,"Pickled cucumber","Beauty & Personal",18572,"Ports are used to communicate with the external world."
63,"Salted caramel cookie","Beauty & Personal",583,"Ports are created with the built-in function open_port."
64,"Vegemite on Toast","Video Games",12226,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
65,"Poke","Video Games",8332,"Erlang is a general-purpose, concurrent, functional programming language."
66,"Shrimp Creole","Fashion",17226,"I don't even care."
67,"Chicken Salad Wrap","Fashion",19727,"Do you come here often?"
68,"Russian dressing","Fashion",10583,"The arguments can be primitive data types or compound data types."
69,"Tamales","Sports & Outdoor",13442,"She spent her earliest years reading classic literature, and writing poetry."
70,"Po'Boy","Home & Garden",13559,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
71,"Garlic bread","Health & Hygine",693,"Do you come here often?"
72,"Sloppy joe","Books",13976,"In 1989 the building was heavily damaged by fire, but it has since been restored."
73,"Biscuit","Health & Hygine",2759,"Atoms are used within a program to denote distinguished values."
74,"Soul food","Office Supply",15770,"It is also a garbage-collected runtime system."
75,"Garden salad","Beauty & Personal",12379,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
76,"Paella","Sports & Outdoor",4280,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
77,"Sweetbreads","Home & Garden",14207,"Haskell features a type system with type inference and lazy evaluation."
78,"Pop-Tarts","Sports & Outdoor",19195,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
79,"Macaroni and cheese","Electronics",5219,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
80,"Senate bean soup","Home & Garden",13275,"Erlang is a general-purpose, concurrent, functional programming language."
81,"Poke","Beauty & Personal",3438,"Ports are created with the built-in function open_port."
82,"Chocolate Chip Cookie","Sports & Outdoor",11592,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
83,"Boulliabaise","Health & Hygine",7536,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
84,"White chocolate cookie","Fashion",1014,"Its main implementation is the Glasgow Haskell Compiler."
85,"Hot chicken","Home & Garden",6543,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
86,"Garlic bread","Beauty & Personal",6890,"Haskell features a type system with type inference and lazy evaluation."
87,"Cheese stuffed crust pizza","Beauty & Personal",4711,"It is also a garbage-collected runtime system."
88,"French Onion Soup","Health & Hygine",19690,"It is also a garbage-collected runtime system."
89,"Chimichanga","Books",5861,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
90,"Flan","Beauty & Personal",3024,"Do you have any idea why this is not working?"
91,"Bear claw","Sports & Outdoor",7424,"Ports are used to communicate with the external world."
92,"Protein bar","Music Instruments",17903,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
93,"Pickled cucumber","Electronics",7716,"Haskell features a type system with type inference and lazy evaluation."
94,"Sausage gravy","Beauty & Personal",13695,"Do you come here often?"
95,"Milk toast","Office Supply",15922,"Do you come here often?"
96,"Eggs Benedict","Sports & Outdoor",8997,"Type classes first appeared in the Haskell programming language."
97,"Frybread","Sports & Outdoor",19120,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
98,"Clam chowder","Beauty & Personal",9118,"Any element of a tuple can be accessed in constant time."
99,"Pork and beans","Home & Garden",19345,"Erlang is a general-purpose, concurrent, functional programming language."
100,"Creamed eggs on toast","Home & Garden",6611,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
101,"Creamed corn","Books",9861,"Its main implementation is the Glasgow Haskell Compiler."
102,"Chicken herby pasta bake","Books",6329,"He looked inquisitively at his keyboard and wrote another sentence."
103,"Pigs in blankets","Electronics",10030,"Tuples are containers for a fixed number of Erlang data types."
104,"Protein bar","Home & Garden",4741,"Make me a sandwich."
105,"Baba Ghanoush","Fashion",11002,"Ports are used to communicate with the external world."
106,"Chocolate cheesecake","Home & Garden",14915,"I don't even care."
107,"Cordon bleu","Video Games",5634,"Where are my pants?"
108,"Porterhouse Steak","Music Instruments",8614,"Atoms are used within a program to denote distinguished values."
109,"Patty","Office Supply",7705,"It is also a garbage-collected runtime system."
110,"BBQ Ribs","Fashion",631,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
111,"Hummus","Music Instruments",2556,"I don't even care."
112,"Chicken Manchurian","Home & Garden",2523,"Do you have any idea why this is not working?"
113,"Salad bar","Health & Hygine",13032,"Erlang is a general-purpose, concurrent, functional programming language."
114,"Lasagna","Beauty & Personal",7058,"Where are my pants?"
115,"Deviled crab","Fashion",17068,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
116,"Buffalo burger","Home & Garden",697,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
117,"Ceviche","Video Games",1171,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
118,"Phaal","Fashion",17317,"Any element of a tuple can be accessed in constant time."
119,"Sloppy joe","Beauty & Personal",4845,"In 1989 the building was heavily damaged by fire, but it has since been restored."
120,"Gyoza","Fashion",5614,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
121,"Chowder","Books",2608,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
122,"Deviled crab","Office Supply",1237,"I don't even care."
123,"Corn relish","Sports & Outdoor",8919,"Atoms are used within a program to denote distinguished values."
124,"Veggie Pizza","Health & Hygine",7951,"He looked inquisitively at his keyboard and wrote another sentence."
125,"Ranch dressing","Electronics",4383,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
126,"Churrasco","Home & Garden",5152,"Do you come here often?"
127,"Escargot","Sports & Outdoor",14260,"He looked inquisitively at his keyboard and wrote another sentence."
128,"Stroganoff","Books",16247,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
129,"Reuben","Electronics",7722,"Haskell features a type system with type inference and lazy evaluation."
130,"Macaroni salad","Video Games",7806,"In 1989 the building was heavily damaged by fire, but it has since been restored."
131,"Mango and Sticky Rice","Health & Hygine",16912,"I don't even care."
132,"Chicken sandwich","Office Supply",7669,"Do you come here often?"
133,"Macaroni salad","Video Games",12700,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
134,"Soul food","Music Instruments",6250,"Do you come here often?"
135,"Bellini","Office Supply",3078,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
136,"Breakfast burrito","Home & Garden",4457,"He looked inquisitively at his keyboard and wrote another sentence."
137,"Elote","Home & Garden",827,"Ports are created with the built-in function open_port."
138,"Shepherd's Pie","Books",11609,"In 1989 the building was heavily damaged by fire, but it has since been restored."
139,"Grilled Snake","Electronics",13849,"Erlang is a general-purpose, concurrent, functional programming language."
140,"Laksa","Books",18516,"Do you come here often?"
141,"White chocolate cookie","Health & Hygine",18260,"Atoms are used within a program to denote distinguished values."
142,"Fries","Health & Hygine",16684,"The arguments can be primitive data types or compound data types."
143,"Steamed clams","Health & Hygine",1261,"Make me a sandwich."
144,"Polenta","Beauty & Personal",16144,"In 1989 the building was heavily damaged by fire, but it has since been restored."
145,"Corn flakes","Office Supply",7800,"It is also a garbage-collected runtime system."
146,"Fattoush Salad","Fashion",2242,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
147,"Pocky","Music Instruments",16081,"Its main implementation is the Glasgow Haskell Compiler."
148,"Steak sauce","Music Instruments",13572,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
149,"Charleston red rice","Music Instruments",19901,"Erlang is known for its designs that are well suited for systems."
150,"Sweet Potato Fries","Music Instruments",9189,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
151,"Stuffed peppers","Electronics",13412,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
152,"Pickled Okra","Video Games",11306,"Its main implementation is the Glasgow Haskell Compiler."
153,"Oysters Rockefeller","Beauty & Personal",7333,"Tuples are containers for a fixed number of Erlang data types."
154,"Falafel","Office Supply",6491,"I don't even care."
155,"Tomato compote","Video Games",14191,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
156,"Chicken Biryani","Books",13440,"He looked inquisitively at his keyboard and wrote another sentence."
157,"Pastrami","Home & Garden",18924,"Where are my pants?"
158,"Ice Cream","Fashion",7796,"In 1989 the building was heavily damaged by fire, but it has since been restored."
159,"Corn flakes","Electronics",13954,"Where are my pants?"
160,"French Dip","Music Instruments",8805,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
161,"London broil","Home & Garden",5428,"In 1989 the building was heavily damaged by fire, but it has since been restored."
162,"Pastrami","Office Supply",18353,"Any element of a tuple can be accessed in constant time."
163,"Drunken chicken","Office Supply",15346,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
164,"Calas","Home & Garden",12314,"Any element of a tuple can be accessed in constant time."
165,"Creme Brulee","Sports & Outdoor",16440,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
166,"Venison","Health & Hygine",3317,"I don't even care."
167,"Fortune cookie","Electronics",2973,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
168,"Pickled Okra","Home & Garden",15627,"Atoms are used within a program to denote distinguished values."
169,"Scampi","Beauty & Personal",17551,"Ports are created with the built-in function open_port."
170,"Chicken Salad Wrap","Beauty & Personal",8305,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
171,"Bookbinder Soup","Office Supply",4504,"Where are my pants?"
172,"Hawaiian Pizza","Sports & Outdoor",17745,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
173,"Sweetbreads","Sports & Outdoor",18353,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
174,"Butter cookie","Sports & Outdoor",14319,"Make me a sandwich."
175,"Bacon Cheeseburger","Office Supply",1394,"Tuples are containers for a fixed number of Erlang data types."
176,"Brunswick stew","Fashion",19921,"In 1989 the building was heavily damaged by fire, but it has since been restored."
177,"Peanut butter","Office Supply",1332,"Haskell features a type system with type inference and lazy evaluation."
178,"Garlic bread","Health & Hygine",4763,"Atoms are used within a program to denote distinguished values."
179,"Cowboy beans","Beauty & Personal",16360,"She spent her earliest years reading classic literature, and writing poetry."
180,"Kung Pao Chicken","Home & Garden",5870,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
181,"Steak sandwich","Books",17385,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
182,"Pumpkin pie","Office Supply",12099,"She spent her earliest years reading classic literature, and writing poetry."
183,"Energy bar","Beauty & Personal",17047,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
184,"Onion ring","Office Supply",9760,"Haskell features a type system with type inference and lazy evaluation."
185,"Waffle","Home & Garden",11845,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
186,"Deep Fried Oreos","Fashion",9620,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
187,"Kobe Beef","Music Instruments",17730,"Do you come here often?"
188,"Cobb Salad","Electronics",3929,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
189,"Chicago Deep Dish Pizza","Books",18672,"It is also a garbage-collected runtime system."
190,"Deviled egg","Office Supply",19311,"Ports are created with the built-in function open_port."
191,"Poppyseed muffin","Music Instruments",4756,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
192,"Empanada","Home & Garden",13051,"He looked inquisitively at his keyboard and wrote another sentence."
193,"Sloppy joe","Electronics",12704,"Its main implementation is the Glasgow Haskell Compiler."
194,"Pan Seared Scallops","Video Games",4892,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
195,"Choco pie","Electronics",13204,"Do you have any idea why this is not working?"
196,"Quesadilla","Office Supply",9188,"Make me a sandwich."
197,"Bird's Nest Soup","Music Instruments",11784,"Erlang is known for its designs that are well suited for systems."
198,"Onion Rings","Beauty & Personal",11285,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
199,"Fajita","Health & Hygine",10507,"Do you come here often?"
200,"Fry sauce","Music Instruments",2482,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
201,"Schnitzel","Fashion",9461,"Do you have any idea why this is not working?"
202,"Roasted Bone Marrow","Beauty & Personal",14250,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
203,"Deviled egg","Video Games",7544,"Do you have any idea why this is not working?"
204,"Thousand Island dressing","Beauty & Personal",13305,"Its main implementation is the Glasgow Haskell Compiler."
205,"Pocky","Home & Garden",9065,"Any element of a tuple can be accessed in constant time."
206,"Milkshake","Electronics",14434,"Where are my pants?"
207,"Mozzarella sticks","Sports & Outdoor",17441,"Atoms are used within a program to denote distinguished values."
208,"Chimichanga","Sports & Outdoor",14097,"I don't even care."
209,"Spring Rolls","Music Instruments",7953,"Ports are used to communicate with the external world."
210,"Liver and onions","Sports & Outdoor",3656,"In 1989 the building was heavily damaged by fire, but it has since been restored."
211,"Currywurst","Music Instruments",2328,"Any element of a tuple can be accessed in constant time."
212,"Chocolate cheesecake","Sports & Outdoor",12448,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
213,"Jambalaya","Fashion",15996,"Erlang is a general-purpose, concurrent, functional programming language."
214,"Hog fry","Sports & Outdoor",13464,"Make me a sandwich."
215,"Hawaiian Pizza","Office Supply",5728,"Where are my pants?"
216,"Sloppy joe","Books",2851,"Ports are created with the built-in function open_port."
217,"Meatcake","Sports & Outdoor",14193,"Haskell features a type system with type inference and lazy evaluation."
218,"Lasagna","Beauty & Personal",10619,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
219,"Deep Fried Oreos","Health & Hygine",13089,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
220,"Onion ring","Sports & Outdoor",3121,"Its main implementation is the Glasgow Haskell Compiler."
221,"Sandwich","Video Games",15785,"Its main implementation is the Glasgow Haskell Compiler."
222,"Chicken bog","Fashion",5281,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
223,"Lorna Doone","Fashion",5713,"Tuples are containers for a fixed number of Erlang data types."
224,"Sweet Potato Fries","Books",3913,"It is also a garbage-collected runtime system."
225,"Chicken Alfredo","Fashion",6697,"Tuples are containers for a fixed number of Erlang data types."
226,"Potato skins","Fashion",10982,"Make me a sandwich."
227,"Bird's Nest Soup","Music Instruments",19447,"He looked inquisitively at his keyboard and wrote another sentence."
228,"Chocolate cheesecake","Sports & Outdoor",10110,"Atoms are used within a program to denote distinguished values."
229,"Pigs in blankets","Sports & Outdoor",3710,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
230,"Mashed potato","Fashion",3337,"Tuples are containers for a fixed number of Erlang data types."
231,"Sandwich","Fashion",18388,"Erlang is known for its designs that are well suited for systems."
232,"Crab Rangoon","Sports & Outdoor",10524,"Do you come here often?"
233,"Empanada","Books",18560,"He looked inquisitively at his keyboard and wrote another sentence."
234,"Ice cream cake","Health & Hygine",10479,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
235,"Sichuan Hot Pot","Music Instruments",18772,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
236,"Bangers and mash","Video Games",7774,"Tuples are containers for a fixed number of Erlang data types."
237,"Jalapeno Poppers","Health & Hygine",11675,"Any element of a tuple can be accessed in constant time."
238,"BBQ Ribs","Video Games",772,"Tuples are containers for a fixed number of Erlang data types."
239,"Baked potato","Beauty & Personal",10199,"It is also a garbage-collected runtime system."
240,"Cornish game hen","Books",19947,"Do you have any idea why this is not working?"
241,"Chicken Salad Wrap","Books",18541,"Do you have any idea why this is not working?"
242,"Bookbinder Soup","Fashion",6191,"She spent her earliest years reading classic literature, and writing poetry."
243,"Cheese fries","Office Supply",18329,"Ports are created with the built-in function open_port."
244,"Margherita Pizza","Health & Hygine",19081,"In 1989 the building was heavily damaged by fire, but it has since been restored."
245,"Vichyssoise","Beauty & Personal",3561,"The arguments can be primitive data types or compound data types."
246,"Home fries","Books",8298,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
247,"Lobster Newberg","Home & Garden",11383,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
248,"Cordon bleu","Electronics",4824,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
249,"Pepperoni Pizza","Video Games",13417,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
250,"Bruschetta","Music Instruments",2102,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
251,"Maple bacon donut","Beauty & Personal",3177,"Where are my pants?"
252,"Key Lime Pie","Office Supply",9817,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
253,"Chicken nugget","Beauty & Personal",8013,"The arguments can be primitive data types or compound data types."
254,"Black Pudding","Books",6439,"It is also a garbage-collected runtime system."
255,"Fried Catfish","Video Games",1137,"Atoms are used within a program to denote distinguished values."
256,"Pemmican","Music Instruments",11961,"I don't even care."
257,"Quesadilla","Office Supply",5606,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
258,"Venison","Health & Hygine",15040,"Ports are created with the built-in function open_port."
259,"Bruschetta","Office Supply",8503,"The arguments can be primitive data types or compound data types."
260,"Fried Green Tomatoes","Fashion",15748,"Do you have any idea why this is not working?"
261,"Prawn Pizza","Health & Hygine",11179,"Type classes first appeared in the Haskell programming language."
262,"Apple sauce","Office Supply",642,"I don't even care."
263,"Matzo Ball Soup","Electronics",1869,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
264,"Prawn Pizza","Health & Hygine",556,"Tuples are containers for a fixed number of Erlang data types."
265,"Queso Fresco","Books",11271,"I don't even care."
266,"Tin Roof Ice Cream","Music Instruments",5255,"It is also a garbage-collected runtime system."
267,"Fajitas","Music Instruments",13881,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
268,"Wasabi Peas","Fashion",12164,"Erlang is a general-purpose, concurrent, functional programming language."
269,"Oysters Rockefeller","Sports & Outdoor",15221,"In 1989 the building was heavily damaged by fire, but it has since been restored."
270,"Scampi","Video Games",15322,"Where are my pants?"
271,"Cornish game hen","Health & Hygine",4710,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
272,"Potatoes O'Brien","Office Supply",6758,"Erlang is known for its designs that are well suited for systems."
273,"Bull roast","Office Supply",9497,"Erlang is a general-purpose, concurrent, functional programming language."
274,"Lorna Doone","Books",1582,"Do you come here often?"
275,"Beef Manhattan","Beauty & Personal",6769,"Ports are created with the built-in function open_port."
276,"Ice Cream","Books",5364,"Tuples are containers for a fixed number of Erlang data types."
277,"Onion ring","Music Instruments",2223,"Ports are created with the built-in function open_port."
278,"Spaghetti and Meatballs","Music Instruments",16258,"Ports are used to communicate with the external world."
279,"Chicken Alfredo","Music Instruments",16645,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
280,"Bagels and Lox","Health & Hygine",18248,"I don't even care."
281,"Soul food","Electronics",6215,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
282,"Cheese stuffed crust pizza","Health & Hygine",11840,"Ports are created with the built-in function open_port."
283,"Crab cake","Office Supply",16992,"Ports are created with the built-in function open_port."
284,"Chocolate cheesecake","Beauty & Personal",18408,"Do you have any idea why this is not working?"
285,"Salisbury steak","Sports & Outdoor",17507,"Type classes first appeared in the Haskell programming language."
286,"Chicken French","Fashion",2505,"Haskell features a type system with type inference and lazy evaluation."
287,"Tomato compote","Health & Hygine",10400,"Atoms are used within a program to denote distinguished values."
288,"Squab","Sports & Outdoor",8727,"It is also a garbage-collected runtime system."
289,"Huevos Rancheros","Fashion",3559,"In 1989 the building was heavily damaged by fire, but it has since been restored."
290,"Soft Shell Crab","Health & Hygine",7621,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
291,"Pan Seared Scallops","Electronics",19551,"I don't even care."
292,"Fish and Chips!","Books",768,"Do you come here often?"
293,"Bull roast","Fashion",2440,"It is also a garbage-collected runtime system."
294,"Chicken Manchurian","Sports & Outdoor",19583,"Do you have any idea why this is not working?"
295,"Eggs Benedict","Video Games",1651,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
296,"Blue cheese dressing","Beauty & Personal",17872,"Ports are used to communicate with the external world."
297,"White chocolate cookie","Sports & Outdoor",14372,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
298,"Gazpacho","Health & Hygine",7578,"I don't even care."
299,"Drunken chicken","Home & Garden",3939,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
300,"Albacore Tuna Melt","Beauty & Personal",11615,"Ports are used to communicate with the external world."
301,"Chicago Hot Dog","Home & Garden",2710,"Its main implementation is the Glasgow Haskell Compiler."
302,"Carolina style","Music Instruments",10046,"Make me a sandwich."
303,"Salad bar","Music Instruments",4505,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
304,"Abalone","Books",1460,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
305,"Calas","Video Games",19002,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
306,"Rabbit pie","Electronics",8257,"Ports are used to communicate with the external world."
307,"Hoppin' John","Video Games",18820,"In 1989 the building was heavily damaged by fire, but it has since been restored."
308,"Thousand Island dressing","Music Instruments",5480,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
309,"Matzo Ball Soup","Beauty & Personal",5152,"The arguments can be primitive data types or compound data types."
310,"Breaded shrimp","Home & Garden",12982,"Atoms are used within a program to denote distinguished values."
311,"Caviar","Sports & Outdoor",17386,"Erlang is a general-purpose, concurrent, functional programming language."
