"id","name","category","price","description"
38,"Alphabet pasta","Books",16368,"Erlang is known for its designs that are well suited for systems."
39,"Scrapple","Office Supply",17952,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
40,"Cinnamon Roll","Sports & Outdoor",545,"Its main implementation is the Glasgow Haskell Compiler."
41,"Vichyssoise","Sports & Outdoor",19165,"Do you come here often?"
42,"Pigs in blankets","Home & Garden",13577,"Where are my pants?"
43,"Potato salad","Fashion",7689,"Do you have any idea why this is not working?"
44,"Mozzarella Sticks","Health & Hygine",3352,"Its main implementation is the Glasgow Haskell Compiler."
45,"Meatloaf","Electronics",3328,"Haskell features a type system with type inference and lazy evaluation."
46,"Schnitzel","Books",6173,"She spent her earliest years reading classic literature, and writing poetry."
47,"Deviled crab","Fashion",4585,"Make me a sandwich."
48,"Ribs","Fashion",1777,"Type classes first appeared in the Haskell programming language."
49,"Chimichanga","Home & Garden",12375,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
50,"Venison","Video Games",14129,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
51,"Tomato compote","Music Instruments",7222,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
52,"Buffalo Wings","Health & Hygine",1001,"Do you come here often?"
53,"Naan","Beauty & Personal",7910,"He looked inquisitively at his keyboard and wrote another sentence."
54,"Fajita","Video Games",6423,"I don't even care."
55,"Peanut butter","Health & Hygine",10130,"Ports are used to communicate with the external world."
56,"Clam chowder","Beauty & Personal",12794,"Type classes first appeared in the Haskell programming language."
57,"Funnel Cake","Music Instruments",4542,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
58,"Caviar","Music Instruments",11819,"In 1989 the building was heavily damaged by fire, but it has since been restored."
59,"Bulgogi","Beauty & Personal",10532,"Do you come here often?"
60,"Bao","Home & Garden",2280,"Its main implementation is the Glasgow Haskell Compiler."
61,"Hog fry","Electronics",8544,"It is also a garbage-collected runtime system."
62,"Salmon pasta bake","Beauty & Personal",18163,"He looked inquisitively at his keyboard and wrote another sentence."
63,"Reuben","Health & Hygine",3463,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
64,"Smelt","Beauty & Personal",4832,"He looked inquisitively at his keyboard and wrote another sentence."
65,"Chocolate Brownie","Books",3486,"He looked inquisitively at his keyboard and wrote another sentence."
66,"Roasted Chickpeas","Music Instruments",14482,"He looked inquisitively at his keyboard and wrote another sentence."
67,"Paella","Beauty & Personal",2428,"Erlang is known for its designs that are well suited for systems."
68,"Low Country Boil","Music Instruments",18584,"Do you come here often?"
69,"Dirty rice","Beauty & Personal",9702,"Haskell features a type system with type inference and lazy evaluation."
70,"Huevos Rancheros","Beauty & Personal",12717,"In 1989 the building was heavily damaged by fire, but it has since been restored."
71,"French Dip","Beauty & Personal",11455,"Tuples are containers for a fixed number of Erlang data types."
72,"Senate bean soup","Electronics",2311,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
73,"French Onion Soup","Health & Hygine",11715,"In 1989 the building was heavily damaged by fire, but it has since been restored."
74,"Prawn Pizza","Music Instruments",8310,"Haskell features a type system with type inference and lazy evaluation."
75,"Prawn Pizza","Electronics",7248,"It is also a garbage-collected runtime system."
76,"Steak Tartare","Home & Garden",2597,"Tuples are containers for a fixed number of Erlang data types."
77,"Pastrami on Rye","Sports & Outdoor",2252,"Make me a sandwich."
78,"Bulgogi","Electronics",3387,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
79,"Chicken Divan","Books",11550,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
80,"Souvlaki","Music Instruments",18403,"Haskell features a type system with type inference and lazy evaluation."
81,"Oreo","Music Instruments",9940,"Atoms are used within a program to denote distinguished values."
82,"Turducken","Video Games",12024,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
83,"Crepes","Electronics",18235,"Where are my pants?"
84,"Baklava","Video Games",3841,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
85,"Mulligan stew","Books",15963,"She spent her earliest years reading classic literature, and writing poetry."
86,"Chocolate cheesecake","Music Instruments",9668,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
87,"Home fries","Video Games",18654,"He looked inquisitively at his keyboard and wrote another sentence."
88,"Corn flakes","Office Supply",5429,"Ports are used to communicate with the external world."
89,"Poutine","Electronics",13592,"Ports are created with the built-in function open_port."
90,"Chicken bog","Books",8659,"The arguments can be primitive data types or compound data types."
91,"Tomato compote","Beauty & Personal",16560,"He looked inquisitively at his keyboard and wrote another sentence."
92,"Bruschetta","Beauty & Personal",19905,"Its main implementation is the Glasgow Haskell Compiler."
93,"Energy bar","Fashion",15206,"Make me a sandwich."
94,"Venison","Electronics",11266,"Make me a sandwich."
95,"Spring Rolls","Fashion",14173,"Ports are used to communicate with the external world."
96,"Hawaiian haystack","Sports & Outdoor",6518,"Do you come here often?"
97,"Pastrami","Books",19987,"Erlang is known for its designs that are well suited for systems."
98,"Key Lime Pie","Video Games",7951,"Where are my pants?"
99,"Sichuan Hot Pot","Electronics",9521,"In 1989 the building was heavily damaged by fire, but it has since been restored."
100,"Garlic bread","Electronics",18066,"Any element of a tuple can be accessed in constant time."
101,"Deviled crab","Fashion",8110,"Ports are created with the built-in function open_port."
102,"Apple butter","Electronics",6894,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
103,"Soul food","Electronics",9522,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
104,"Stuffed zucchini","Home & Garden",10947,"Erlang is a general-purpose, concurrent, functional programming language."
105,"Milkshake","Office Supply",3524,"Atoms are used within a program to denote distinguished values."
106,"Prawn Pizza","Video Games",14517,"Tuples are containers for a fixed number of Erlang data types."
107,"Veggie Pizza","Video Games",6654,"Atoms are used within a program to denote distinguished values."
108,"Alice Springs Chicken","Home & Garden",14911,"Make me a sandwich."
109,"Bull roast","Office Supply",7005,"I don't even care."
110,"Chicken Manchurian","Video Games",3827,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
111,"Alice Springs Chicken","Beauty & Personal",15513,"Make me a sandwich."
112,"Blue cheese dressing","Video Games",19546,"In 1989 the building was heavily damaged by fire, but it has since been restored."
113,"American fried rice","Office Supply",11319,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
114,"Meat Feast Pizza","Music Instruments",17869,"Do you come here often?"
115,"Crab cake","Video Games",5261,"The arguments can be primitive data types or compound data types."
116,"Goulash","Video Games",5889,"Make me a sandwich."
117,"Polenta","Beauty & Personal",12725,"Tuples are containers for a fixed number of Erlang data types."
118,"Lorna Doone","Music Instruments",9674,"Haskell features a type system with type inference and lazy evaluation."
119,"Satay","Home & Garden",14370,"Where are my pants?"
120,"Waffle","Books",17656,"Make me a sandwich."
121,"Potato Wedges","Music Instruments",4258,"Erlang is known for its designs that are well suited for systems."
122,"Black Pudding","Health & Hygine",11913,"It is also a garbage-collected runtime system."
123,"St. Paul Sandwich","Fashion",812,"Do you come here often?"
124,"Ice Cream","Home & Garden",14337,"Type classes first appeared in the Haskell programming language."
125,"Meat Feast Pizza","Fashion",14115,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
126,"Cheese fries","Health & Hygine",17580,"Where are my pants?"
127,"Soul food","Office Supply",3012,"She spent her earliest years reading classic literature, and writing poetry."
128,"Barbecue","Electronics",15743,"Do you come here often?"
129,"Grits","Health & Hygine",12965,"He looked inquisitively at his keyboard and wrote another sentence."
130,"Chicken Alfredo","Video Games",16191,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
131,"Tagine","Books",7046,"Where are my pants?"
132,"Grits","Video Games",5863,"She spent her earliest years reading classic literature, and writing poetry."
133,"Cheesy Garlic Bread","Office Supply",7552,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
134,"Roasted Chickpeas","Home & Garden",15621,"Any element of a tuple can be accessed in constant time."
135,"Maple bacon donut","Video Games",18251,"It is also a garbage-collected runtime system."
136,"Rolled oyster","Health & Hygine",13858,"Do you have any idea why this is not working?"
137,"Chicharones","Health & Hygine",9889,"In 1989 the building was heavily damaged by fire, but it has since been restored."
138,"Steak sandwich","Electronics",11048,"In 1989 the building was heavily damaged by fire, but it has since been restored."
139,"Chowder","Electronics",16247,"In 1989 the building was heavily damaged by fire, but it has since been restored."
140,"Shepherd's Pie","Health & Hygine",9666,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
141,"Crab Rangoon","Home & Garden",18705,"Tuples are containers for a fixed number of Erlang data types."
142,"Parma Ham","Video Games",583,"Type classes first appeared in the Haskell programming language."
143,"Steamed clams","Fashion",13413,"She spent her earliest years reading classic literature, and writing poetry."
144,"Chili con carne","Office Supply",7419,"Tuples are containers for a fixed number of Erlang data types."
145,"Maple Bacon Doughnut","Fashion",9434,"Type classes first appeared in the Haskell programming language."
146,"Hokkien fried rice","Office Supply",17746,"Erlang is known for its designs that are well suited for systems."
147,"Bi Bim Bap","Health & Hygine",13103,"Tuples are containers for a fixed number of Erlang data types."
148,"Cheese dog","Health & Hygine",3310,"Do you have any idea why this is not working?"
149,"Fries","Home & Garden",5992,"Type classes first appeared in the Haskell programming language."
150,"Falafel","Office Supply",17865,"The arguments can be primitive data types or compound data types."
151,"Soft Shell Crab","Fashion",4933,"Make me a sandwich."
152,"Spring Rolls","Health & Hygine",13615,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
153,"Sauteed Morel Mushrooms","Video Games",8726,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
154,"Margherita Pizza","Health & Hygine",9296,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
155,"Bird's Nest Soup","Music Instruments",19797,"Do you come here often?"
156,"Ceviche","Sports & Outdoor",11691,"It is also a garbage-collected runtime system."
157,"Falafel","Video Games",17615,"Tuples are containers for a fixed number of Erlang data types."
158,"Gumbo","Office Supply",9276,"It is also a garbage-collected runtime system."
159,"Osso Buco","Office Supply",13729,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
160,"Bi Bim Bap","Office Supply",19706,"Any element of a tuple can be accessed in constant time."
161,"Potato skins","Books",13696,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
162,"Chocolate Brownie","Beauty & Personal",12535,"She spent her earliest years reading classic literature, and writing poetry."
163,"Funnel Cake","Electronics",18370,"Ports are created with the built-in function open_port."
164,"Phaal","Sports & Outdoor",16913,"Make me a sandwich."
165,"Chicken Liver Pate","Video Games",6669,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
166,"Sauteed Morel Mushrooms","Sports & Outdoor",8255,"Any element of a tuple can be accessed in constant time."
167,"Bangers and mash","Fashion",12955,"Its main implementation is the Glasgow Haskell Compiler."
168,"Ratatouille","Books",1873,"Where are my pants?"
169,"Queso Fresco","Music Instruments",10203,"Any element of a tuple can be accessed in constant time."
170,"Ice Cream","Beauty & Personal",19250,"In 1989 the building was heavily damaged by fire, but it has since been restored."
171,"Toaster Strudel","Video Games",16654,"In 1989 the building was heavily damaged by fire, but it has since been restored."
172,"Doughnut","Sports & Outdoor",12153,"Erlang is known for its designs that are well suited for systems."
173,"Chicken nugget","Office Supply",6616,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
174,"Bao","Health & Hygine",2836,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
175,"Potatoes O'Brien","Video Games",5351,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
176,"Salad bar","Video Games",6932,"Where are my pants?"
177,"Oysters Rockefeller","Beauty & Personal",13612,"He looked inquisitively at his keyboard and wrote another sentence."
178,"Creme Brulee","Sports & Outdoor",6988,"Haskell features a type system with type inference and lazy evaluation."
179,"St. Paul Sandwich","Health & Hygine",18588,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
180,"Geoduck","Health & Hygine",647,"Where are my pants?"
181,"Shucked Oysters","Home & Garden",5108,"Ports are created with the built-in function open_port."
182,"Sushi","Health & Hygine",13065,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
183,"Slinger","Sports & Outdoor",3341,"Do you come here often?"
184,"Banh Mi Viêt","Video Games",8697,"Any element of a tuple can be accessed in constant time."
185,"Energy bar","Sports & Outdoor",16070,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
186,"Clam cake","Home & Garden",5658,"Erlang is a general-purpose, concurrent, functional programming language."
187,"Domesticated turkey","Beauty & Personal",1773,"Ports are used to communicate with the external world."
188,"Maple bacon donut","Sports & Outdoor",8054,"Ports are used to communicate with the external world."
189,"Alice Springs Chicken","Health & Hygine",16197,"Any element of a tuple can be accessed in constant time."
190,"Squab","Home & Garden",15990,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
191,"Stuffed peppers","Home & Garden",9886,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
192,"Supreme pizza","Health & Hygine",6576,"Erlang is a general-purpose, concurrent, functional programming language."
193,"Sauteed Morel Mushrooms","Music Instruments",4109,"The arguments can be primitive data types or compound data types."
194,"Pickled Okra","Books",14359,"Tuples are containers for a fixed number of Erlang data types."
195,"Peanut butter","Electronics",5017,"Type classes first appeared in the Haskell programming language."
196,"Ploye","Health & Hygine",5290,"Atoms are used within a program to denote distinguished values."
197,"Pork Belly","Sports & Outdoor",19201,"Do you come here often?"
198,"Fried Green Tomatoes","Electronics",12260,"I don't even care."
199,"Salmon pasta bake","Home & Garden",11314,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
200,"Chicken nugget","Health & Hygine",4393,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
201,"Calas","Fashion",14716,"In 1989 the building was heavily damaged by fire, but it has since been restored."
202,"Cheese fries","Beauty & Personal",2076,"The arguments can be primitive data types or compound data types."
203,"Bao","Beauty & Personal",4580,"Ports are used to communicate with the external world."
204,"Cheesecake","Beauty & Personal",19198,"Its main implementation is the Glasgow Haskell Compiler."
205,"Baklava","Books",19292,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
206,"Bi Bim Bap","Books",2308,"Where are my pants?"
207,"Mango and Sticky Rice","Electronics",7356,"He looked inquisitively at his keyboard and wrote another sentence."
208,"Hot Chicken sandwich","Beauty & Personal",13365,"Erlang is a general-purpose, concurrent, functional programming language."
209,"Jambalaya","Office Supply",14322,"In 1989 the building was heavily damaged by fire, but it has since been restored."
210,"Russian tea cake","Beauty & Personal",11817,"Erlang is known for its designs that are well suited for systems."
211,"Potatoes O'Brien","Sports & Outdoor",8228,"Any element of a tuple can be accessed in constant time."
212,"Mashed potato","Home & Garden",17534,"It is also a garbage-collected runtime system."
213,"London broil","Music Instruments",870,"Make me a sandwich."
214,"Maine Lobster","Beauty & Personal",4719,"Erlang is known for its designs that are well suited for systems."
215,"Hot chicken","Electronics",13900,"He looked inquisitively at his keyboard and wrote another sentence."
216,"Lobster roll","Books",14976,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
217,"Blue-plate special","Sports & Outdoor",18038,"Tuples are containers for a fixed number of Erlang data types."
218,"Suckling Pig","Sports & Outdoor",17370,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
219,"Tomato compote","Books",10508,"Atoms are used within a program to denote distinguished values."
220,"Patty","Office Supply",5691,"Do you have any idea why this is not working?"
221,"Pork Belly","Electronics",18744,"Ports are created with the built-in function open_port."
222,"Squab","Beauty & Personal",5572,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
223,"Fried Green Tomatoes","Music Instruments",13812,"I don't even care."
224,"Potato Wedges","Sports & Outdoor",14581,"I don't even care."
225,"Meat Feast Pizza","Sports & Outdoor",8866,"The arguments can be primitive data types or compound data types."
226,"Chicken bog","Health & Hygine",13450,"Do you come here often?"
227,"Steak Tartare","Fashion",4578,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
228,"Mulligan stew","Fashion",12615,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
229,"Chile Relleno","Music Instruments",6996,"The arguments can be primitive data types or compound data types."
230,"Carne pizzaiola","Electronics",12886,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
231,"Steak sauce","Video Games",10294,"I don't even care."
232,"Mulligan stew","Home & Garden",5248,"Erlang is a general-purpose, concurrent, functional programming language."
233,"Apple sauce","Sports & Outdoor",18867,"Do you have any idea why this is not working?"
234,"Lobster Newberg","Home & Garden",16026,"Make me a sandwich."
235,"Hawaiian Pizza","Fashion",2225,"She spent her earliest years reading classic literature, and writing poetry."
236,"Coleslaw","Health & Hygine",10123,"Atoms are used within a program to denote distinguished values."
237,"Phaal","Home & Garden",7054,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
238,"Osso Buco","Home & Garden",19376,"Erlang is a general-purpose, concurrent, functional programming language."
239,"Cobb Salad","Sports & Outdoor",10958,"Do you come here often?"
240,"Chicken herby pasta bake","Beauty & Personal",11366,"Do you come here often?"
241,"Gazpacho","Beauty & Personal",5751,"Atoms are used within a program to denote distinguished values."
242,"American fried rice","Electronics",1545,"She spent her earliest years reading classic literature, and writing poetry."
243,"Chowder","Home & Garden",13538,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
244,"Mulligan stew","Home & Garden",12120,"Do you have any idea why this is not working?"
245,"Stuffed peppers","Electronics",9826,"Erlang is known for its designs that are well suited for systems."
246,"Beef Lo Mein","Home & Garden",16409,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
247,"Gyoza","Electronics",1741,"The arguments can be primitive data types or compound data types."
248,"Ceviche","Beauty & Personal",19461,"Haskell features a type system with type inference and lazy evaluation."
249,"Abalone","Home & Garden",2307,"Ports are used to communicate with the external world."
250,"Sour cream","Home & Garden",6389,"Make me a sandwich."
251,"Beef Manhattan","Office Supply",10632,"Haskell features a type system with type inference and lazy evaluation."
252,"Chicken fried bacon","Fashion",11653,"Its main implementation is the Glasgow Haskell Compiler."
253,"Pulled pork","Sports & Outdoor",17819,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
254,"Tuna Pizza","Beauty & Personal",12839,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
255,"Macaroni salad","Electronics",5945,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
256,"Biscuit","Beauty & Personal",14720,"Atoms are used within a program to denote distinguished values."
257,"Clam chowder","Office Supply",12084,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
258,"Baba Ghanoush","Video Games",16739,"I don't even care."
259,"Cordon bleu","Video Games",8810,"Erlang is a general-purpose, concurrent, functional programming language."
260,"Home fries","Sports & Outdoor",10784,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
261,"Sausage gravy","Home & Garden",8970,"Ports are created with the built-in function open_port."
262,"Stuffed ham","Home & Garden",7349,"Any element of a tuple can be accessed in constant time."
263,"Chicken Alfredo","Video Games",1702,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
264,"Hokkien fried rice","Books",4240,"Ports are created with the built-in function open_port."
265,"Chicken Salad Wrap","Home & Garden",10411,"She spent her earliest years reading classic literature, and writing poetry."
266,"Mini pizzas","Video Games",2455,"Do you come here often?"
267,"Fattoush Salad","Beauty & Personal",4494,"It is also a garbage-collected runtime system."
268,"Meatloaf","Office Supply",17671,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
269,"Potatoes O'Brien","Health & Hygine",3546,"Any element of a tuple can be accessed in constant time."
270,"Low Country Boil","Music Instruments",10849,"She spent her earliest years reading classic literature, and writing poetry."
271,"Baba Ghanoush","Music Instruments",17579,"It is also a garbage-collected runtime system."
272,"Stuffed peppers","Beauty & Personal",18731,"Type classes first appeared in the Haskell programming language."
273,"Veggie Pizza","Office Supply",16933,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
274,"Maraca pie","Beauty & Personal",12758,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
275,"Eggs Benedict","Office Supply",7060,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
276,"Beef Manhattan","Health & Hygine",17271,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
277,"Tagine","Music Instruments",18492,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
278,"Suckling Pig","Sports & Outdoor",12758,"Any element of a tuple can be accessed in constant time."
279,"Swiss steak","Home & Garden",11218,"Do you come here often?"
280,"Blue-plate special","Sports & Outdoor",12251,"She spent her earliest years reading classic literature, and writing poetry."
281,"Lorna Doone","Electronics",12089,"Erlang is known for its designs that are well suited for systems."
282,"Corn dog","Books",14314,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
283,"Salted caramel cookie","Sports & Outdoor",18573,"Make me a sandwich."
284,"American fried rice","Books",17449,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
285,"Steak sandwich","Sports & Outdoor",15965,"She spent her earliest years reading classic literature, and writing poetry."
286,"Porterhouse Steak","Music Instruments",7397,"He looked inquisitively at his keyboard and wrote another sentence."
287,"Mashed pumpkin","Home & Garden",7534,"I don't even care."
288,"Bao","Health & Hygine",15485,"I don't even care."
289,"Mozzarella sticks","Video Games",7800,"Ports are created with the built-in function open_port."
290,"Tin Roof Ice Cream","Sports & Outdoor",16602,"Erlang is a general-purpose, concurrent, functional programming language."
291,"Tuna Pizza","Books",9221,"Erlang is a general-purpose, concurrent, functional programming language."
292,"Cordon bleu","Home & Garden",2507,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
293,"Calas","Health & Hygine",18890,"Erlang is a general-purpose, concurrent, functional programming language."
294,"Biscuit","Fashion",8102,"I don't even care."
295,"Chicken and waffles","Home & Garden",6134,"Atoms are used within a program to denote distinguished values."
296,"Carne pizzaiola","Beauty & Personal",6653,"Make me a sandwich."
297,"Mini pizzas","Books",12097,"He looked inquisitively at his keyboard and wrote another sentence."
298,"BBQ Ribs","Music Instruments",3980,"Its main implementation is the Glasgow Haskell Compiler."
299,"Porterhouse Steak","Books",1218,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
300,"Grilled Snake","Video Games",15083,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
301,"Garlic bread","Electronics",3355,"I don't even care."
302,"Chicken Biryani","Books",18420,"Haskell features a type system with type inference and lazy evaluation."
303,"Potato Wedges","Home & Garden",10956,"Its main implementation is the Glasgow Haskell Compiler."
304,"Haggis","Health & Hygine",3960,"He looked inquisitively at his keyboard and wrote another sentence."
305,"Cheese balls","Video Games",17414,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
306,"Eggs Neptune","Health & Hygine",12755,"I don't even care."
307,"Muffuletta","Health & Hygine",12856,"She spent her earliest years reading classic literature, and writing poetry."
308,"Deviled egg","Video Games",5277,"Any element of a tuple can be accessed in constant time."
309,"Hawaiian Pizza","Health & Hygine",14020,"In 1989 the building was heavily damaged by fire, but it has since been restored."
310,"Corn flakes","Music Instruments",17117,"Erlang is known for its designs that are well suited for systems."
311,"Jell-O","Video Games",13249,"Ports are used to communicate with the external world."
312,"Creamed eggs on toast","Video Games",11684,"Its main implementation is the Glasgow Haskell Compiler."
313,"Geoduck","Sports & Outdoor",6276,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
314,"Buffalo wing","Office Supply",18447,"Any element of a tuple can be accessed in constant time."
315,"Philly Cheese Steak","Books",18432,"I don't even care."
316,"Ice cream cake","Electronics",15571,"Ports are used to communicate with the external world."
